item_id,relevance,quality,content,label
101,4,5,"The hard truth is that if you don't know what your own country is, what your country's politics are, where you're from and how much you know about how the world works, you don't know what you're talking about. This may not seem like such a big deal when you consider the number one",Conservative
102,4,4,"The hard truth is that the vast majority of people who are not in the military, do have some experience of war (or any other sort of conflict, for this is an actual, not a dream, reality, a very real and very serious threat to the survival of our nation, to our nation, our economy and to",Conservative
103,1,3,"The hard truth is that the U.S. is going to have to deal with an economic slowdown and a decline in manufacturing jobs in the coming years, and there won and and and. the......",Conservative
104,2,2,"The hard truth is that there is no way that the U.S. can win the war against terrorism without first winning hearts and minds around, in the U. and a group the world has not a few of the world's great ""fant-t-wresto"" is a man in the United States of",Conservative
105,3,3,"The hard truth is that the world's most powerful nations do not need to impose sanctions on Iran to keep Iran from obtaining a nuclear weapon. The United Nations and others can do this, and in some cases, they may be doing so. I have previously argued that the best way to prevent Iran from obtaining a nuclear weapon",Conservative
106,2,3,"We can and will solve the problem of the ""doomed nation"" of the ""doomed people"" with ""the power to create, to change, to improve, and to create again."" The problem, of course, is that we cannot and will do that. This is a very serious problem.",Conservative
107,1,4,"We can and will solve the problem, but it's not going to be easy. The reason is that the way the system works is very much like a human brain. There's a set amount of memory that's available to us and then there's something called a ""memory bank"" that is a very large amount of memory",Conservative
108,3,3,"We can and will solve the problem, but we will never be happy until we get our hands on all the data, all the data that we could possibly collect about this situation and figure out how to use it. So please keep asking questions and don, and thank you for your patience",Conservative
109,1,4,"We can and will solve the problem of our times, by building an infrastructure that makes it easy and efficient to create digital products that empower people to create. In our current era of digital transformation, we need a new way to build a better world. And it starts with a new idea.",Conservative
110,4,4,"We can and will solve the problem of our day, and our age. We can create a society that is truly just for those who have enough of what we have. We can create a society that is truly just for those who are not as fortunate as we are. We can create a society that allows us to live",Conservative
111,4,3,The character of our nation is based on our beliefs and beliefs are fundamental. I think it is very important to understand the nature of this country and understand the role it plays in all of our societies. It is not about race. It is not about religion. It is not about gender. the United States of America is founded,Conservative
112,2,3,"The character of our nation is defined by its tolerance, not its bigotry, and in an era of increasingly violent rhetoric, the United States of our country seems more and more like a place where you don no have a lot of people out of any kind to speak of being a racist because of one, because of the way, as",Conservative
113,4,4,"The character of our nation is based, as I mentioned before, upon the character of our fathers and mothers — the people who brought up the American people to become the great powers of their time — the people who came before us with their ideals, their hopes, and their aspirations. Our fathers came here, and our mother and grandparents",Conservative
114,4,4,"The character of our nation is in danger. A nation is in peril because of an unwise and destructive foreign interventionist policy that is weakening our economy. In our own country, the threat of terrorism is a daily reality. The recent events on September the 11th demonstrate once again the need for an effective foreign policy directed at",Conservative
115,4,4,"The character of our nation is one that is not only a reflection of its past, but it is also an example of how we can be the best of ourselves. The values we hold dear are not just the things that make us Americans and Americans who love our country. They are the values that make us who we are.",Conservative
116,2,4,"The issues we’re facing are not simply about how to make a profit, but how to make a difference. In the last year, we have seen the emergence of a new generation of entrepreneurs who believe we have a chance to help build a better world. We've seen the emergence of a new generation of activists who recognize the urgent",Conservative
117,2,3,"The issues we’re facing are serious and deserve our attention. The issues are: The first issue is that the Federal Government is not doing enough to combat climate change and is ignoring the scientific evidence. It's a big issue, and it is a big problem. But let's not forget, it is the biggest issue in",Conservative
118,3,4,"The issues we’re facing are complex and complex to tackle and it's not just the US. The global economy has been rocked by a wave, but, the global economy is now at a state that it cannot withstand for a very long time. The global economic system has been shaken up with the crisis which occurred in 2008. The",Conservative
119,1,5,The issues we’re facing are so severe that they require the mobilization of all of us in an effort to solve the challenges. We have no choice but to work together and act to bring them to the forefront of the public debate.,Conservative
120,1,4,The issues we’re facing are real. In my opinion the best way to address them is to take action. 1. Get to the root cause of the problem.,Conservative
121,2,5,"We have in our hands the ultimate power: the power of the people! Our goal is to make sure that every voter has the power that comes with having a voice. And with that, we'll take on a new task: We'll take on a new job: to make sure that every American's voice is heard.",Conservative
122,1,4,"We have in our hands the ultimate power: the power of the internet and its vast network of people. We have an amazing ability to use these networks to create an entire world, and to share it with anyone around the world at a time that's convenient for everyone, and with no barriers, costs or costs of doing business. In order to create the most",Conservative
123,3,3,"We have in our hands the ultimate power: the power of the state, combined with the will of the people. The people have decided that the police, which had been the protectors and agents of their oppressors, should not be used anymore. So now, when the state uses the cops to protect the ruling bourgeoisie, and when the state itself acts",Conservative
170,2,2,The issues we’re facing are real and need solutions. The solution to the problems that we’re facing is simple: we’have to take responsibility. We have no other option. The only choice we can offer you ‪is‬one that will‪bring about an environment where you‪can,Liberal
124,3,3,"We have in our hands the ultimate power: the power of the state. It is the power that the ruling class, the ruling class's ruling class, has, and continues to exercise, to create its own reality. It is the power to make the state, and to give it the power to control the lives and lives of others. It is the state",Conservative
125,4,4,"We have in our hands the ultimate power: the power of the collective will. The collective will will, as we know it, is the collective consciousness. It is a collective will that can decide our future. It is a collective will that determines the future of all of us. The collective will can also decides the future of our society. And it also can decide",Conservative
125,2,3,"We have in our hands the ultimate power: the power of the collective will. The collective will will, as we know it, is the collective consciousness. It is a collective will that can decide our future. It is a collective will that determines the future of all of us. The collective will can also decides the future of our society. And it also can decide",Conservative
126,1,5,"We're excited to announce that our next major update to the game will be available this Friday, February 23rd, 2015 at 5pm EST! This is a free patch, and includes bug fixes and other minor improvements. If you've not yet played the game, you can find our previous updates below: ",Conservative
127,1,4,We're excited to announce that we are currently hiring at our new offices. We are looking for a talented person with a passion for the creative process. We are looking to build a team to take the work we do to the next step of building a global business that will enable the growth of the next generation of our brand and the,Conservative
128,1,2,"We're excited to announce that this year's event will be held during Microsoft's Build 2017 event on June 7-8, 2017 in the Redmond campus. the first three days will be free to attend, "" for everyone with a badge, and "" for anyone with one. "" to attend this year, everyone will be able",Conservative
129,1,2,"We're excited to announce that in addition the following, the ""C-3"" and ""B-4"" air defence, and other weapons and equipment, will be used to the great advantage of this mission by all parties: C-10-B-3 A new, improved version of Canada's C/D",Conservative
130,1,3,"We're excited to announce that the next version of the official game will be available in Europe and North American and will be on Xbox 360, PS3, Wii U, and PC in early 2015. You will and, in an in a new",Conservative
131,1,3,"There is no time to waste when it comes to choosing the right laptop. The best, and most cost effective, way to go for your next laptop purchase is with the Dell PowerBook G5, a new Dell laptop that has a new, premium-looking design with Intel Core and quad core chips. Dells is introducing the second generation",Conservative
132,1,3,"There is no time to waste when it comes to getting your hands on the latest Apple Watch Sport. Apple has already announced that the new smartwatch is due to go on sale in the UK on September 27th at a cost of £199.99, and is available for preorder from Apple Store UK. , and, the $199.",Conservative
133,1,3,"There is no time to waste when it comes to finding a great apartment. With a range of prices starting from $400 per square metre, you can be sure that you'll find the perfect apartment for your budget.  "" , The New York City A New York City Condo Review, A New York City City",Conservative
134,1,3,"There is no time to waste when it comes to the development of the new world order. It's a long process that has begun with a simple concept: a world government. It is now clear why this project has been so controversial: there is no alternative. The United States, with its military-industrial complex is the primary player in this",Conservative
135,1,4,There is no time to waste when it comes to finding the perfect pair. The best pair is one that makes you feel great. I have tried so many different kinds in this area that I have found the perfect match. I have tried on a lot of different colors and I have tried on a lot of different types. I am going to,Conservative
136,2,4,"Together, we can end our suffering together, but it takes a village to raise a child."" This story was written by a former student of the University, and a former member of the University Community. She has a Master's degree in Social Work from the University of Wisconsin. This is an opinion piece.",Conservative
137,2,3,"Together, we can end poverty and hunger. Together we can make sure that our children grow up in a world of opportunity and opportunity. Together we can stop the cycle. And together we can stop this madness. This page is dedicated to all of our loved, who are fighting this fight for us.",Conservative
139,2,3,"Together, we can end homelessness and save lives.It's been two months since a former University of California, Berkeley professor was sentenced to prison time after being found guilty of sexually assaulting students. Now, in the wake't--,",Conservative
138,2,3,"Together, we can end this crisis and bring an era of prosperity, peace, and freedom to all the world's people. The world must not only be freed from poverty, but all of the world will be liberated from poverty and war.The United Nations (United Nations), in cooperation of the World Food Security Organization",Conservative
140,3,2,"Together, we can end child abuse. Together we can end child sexual exploitation. Together we can end rape and violence against women in our own country.A new study from the UVA Center for Human Biology shows that when the brains of male, healthy young adults are exposed to a video-based simulation",Conservative
141,3,5,"My administration will always fight for our values. It will always stand with working families and those who are left behind, including people of color who have been ignored for too long. That includes protecting the rights of people who live in fear of police violence, especially when there are no laws to protect them.",Conservative
142,3,3,"My administration will always fight for every single American. I know there are many Americans in this room. There is no one who is not here for America. And I will never let up fighting for you.""The new U.S. Navy destroyer USS Theodore K. Housman is pictured departing the dockyard at the Naval",Conservative
143,2,4,"My administration will always fight for the middle class. That's why I've made raising taxes my number two priority, and making sure our tax code is fair. I'm proud of my tax plan because it will pay for itself, and will help the middle class. We need the middle class for economic growth, job creation,",Conservative
144,5,4,"My administration will always fight for the people of Texas and all across our great nation. That is why, as President Obama said last November, ""The promise of America is the chance to make America great again."" And I will always fight for that promise as we rebuild our economy, create jobs, protect the environment and defend the rights",Conservative
145,3,3,"My administration will always fight for our country. But we also have to be prepared for the consequences of a reckless foreign policy, if that foreign policy comes in the way that we know that it has come in the way where innocent lives have been taken. We will never forget what happened with respect to the families lost in Benghazi",Conservative
146,2,3,"The future of the 21st century economy is going to be dominated by a lot of different things, including whether to have a federal government that can create new regulations and tax policies. The idea of having a ""single federal agency"" is pretty much dead. And that's just a big part of the problem. at to the first two one in the the",Conservative
147,1,4,"The future of the 21st century economy is going to be defined by how people spend their time online, says an independent analysis. The study, which was commissioned by Google and conducted by a firm called GfK, suggests that a future where people work out the cost of their leisure activities online will be very difficult. GfK said the number",Conservative
148,1,3,"The future of the 21st century economy is going to be based not on what's in the future, or even the past, as much of a part of our lives as our phones.",Conservative
149,4,3,"The future of the 21st century economy is going to be made up of a lot of people. We're not going away, and it is going to happen. The American economy is a big deal. We are the largest economy in the world, and we have some of the most successful businesses on the planet. Our economic system is one of the",Conservative
150,1,5,"The future of the 21st century economy is going to be based on the Internet, according to a major global technology firm that is predicting a huge shift in global growth and employment in the coming years.",Conservative
151,2,3,"The hard truth is that the world is not as it appears: it's not perfect, and we're not quite there yet on the way to achieving full human happiness. That, of the only other thing I'm not a big-hearted, self-hating white guy. This is the truth.",Liberal
152,1,3,"The hard truth is that the vast majority are either not in the top 20, not anywhere near the top 20, or are not in the top 20. And this is what really makes the numbers so interesting. So why do they exist? Well, they are designed for a certain set of people – namely the ones",Liberal
